line_source,date,n,won,pnl,legs
sportsbook (proxy),2026-06-06,2,1,2.0,Lodolo L5.5=3W + Bradish L6.5=3W
sportsbook (proxy),2026-06-12,3,1,5.0,Lodolo L5.5=5W + Yesavage L5.5=3W + McLean L6.5=6W
sportsbook (proxy),2026-06-23,3,0,-1,Lodolo L5.5=6L + Mize M4.5=6W + Avila L4.5=6L
sportsbook (proxy),2026-06-24,3,1,5.0,Yesavage L5.5=5W + Liberatore L4.5=3W + Pérez L5.5=1W
sportsbook (proxy),2026-06-29,3,1,5.0,Mize M4.5=10W + Lodolo L4.5=4W + Yesavage L5.5=3W
sportsbook (proxy),2026-06-30,3,0,-1,Sproat M4.5=7W + Pérez L4.5=1W + Cavalli L6.5=13L
pick'em sim -0.5 soft,2026-06-05,3,0,-1,Rocker M4.0=5W + Sproat M4.0=2L + Weathers M5.0=4L
pick'em sim -0.5 soft,2026-06-06,2,1,2.0,Lodolo L5.5=3W + Rodriguez M3.0=5W
pick'em sim -0.5 soft,2026-06-10,2,0,-1,Sproat M4.0=3L + Lambert M4.0=6W
pick'em sim -0.5 soft,2026-06-12,3,0,-1,Assad M3.0=5W + Ryan M6.0=8W + Avila M4.0=0L
pick'em sim -0.5 soft,2026-06-12,3,0,-1,McLean L6.5=6W + Lodolo L5.0=5L + Jump M5.0=6W
pick'em sim -0.5 soft,2026-06-17,3,0,-1,Mize M3.5=3L + Assad M3.0=1L + Lodolo L5.5=2W
pick'em sim -0.5 soft,2026-06-18,3,0,-1,Jump M5.0=7W + Yesavage L5.5=6L + Weathers M5.0=8W
pick'em sim -0.5 soft,2026-06-20,2,1,2.0,Cavalli L6.5=1W + Hancock M4.0=6W
pick'em sim -0.5 soft,2026-06-23,3,1,5.0,Sproat M3.5=10W + Mize M4.0=6W + Johnson M4.0=8W
pick'em sim -0.5 soft,2026-06-24,3,1,5.0,Assad M3.0=5W + Sears M3.0=5W + Suarez M6.0=9W
pick'em sim -0.5 soft,2026-06-24,3,0,-1,Mahle M3.0=4W + Weathers M5.0=6W + Bibee M4.0=3L
pick'em sim -0.5 soft,2026-06-29,2,1,2.0,Mize M4.0=10W + Suarez M5.5=8W
pick'em sim -0.5 soft,2026-06-30,3,1,5.0,Sproat M3.5=7W + Sears M3.0=4W + Chandler M3.5=6W
pick'em sim +0.0,2026-06-06,2,1,2.0,Lodolo L6.0=3W + Bradish L6.5=3W
pick'em sim +0.0,2026-06-07,2,0,-1,Cavalli L6.5=2W + Jump M5.0=3L
pick'em sim +0.0,2026-06-12,3,1,5.0,Lodolo L5.5=5W + Yesavage L5.5=3W + McLean L7.0=6W
pick'em sim +0.0,2026-06-17,2,0,-1,Mize M4.0=3L + Lodolo L6.0=2W
pick'em sim +0.0,2026-06-23,3,0,-1,Sproat M4.0=10W + Mize M4.5=6W + Avila L4.5=6L
pick'em sim +0.0,2026-06-24,3,1,5.0,Liberatore L4.5=3W + Pérez L5.5=1W + Assad M3.5=5W
pick'em sim +0.0,2026-06-29,3,1,5.0,Mize M4.5=10W + Lodolo L4.5=4W + Yesavage L5.5=3W
pick'em sim +0.0,2026-06-30,3,0,-1,Sproat M4.0=7W + Pérez L4.5=1W + Cavalli L6.5=13L
pick'em sim +0.5 tight,2026-06-05,3,0,-1,Yesavage L6.0=5W + Lambert L5.5=4W + Rocker M5.0=5L
pick'em sim +0.5 tight,2026-06-06,2,1,2.0,Lodolo L6.5=3W + Bradish L7.0=3W
pick'em sim +0.5 tight,2026-06-12,3,1,5.0,Lodolo L6.0=5W + McLean L7.5=6W + Yesavage L6.0=3W
pick'em sim +0.5 tight,2026-06-13,3,0,-1,Chandler L5.5=6L + Liberatore L5.5=4W + Cavalli L6.5=5W
pick'em sim +0.5 tight,2026-06-18,2,1,2.0,Yesavage L6.5=6W + Johnson L5.5=2W
pick'em sim +0.5 tight,2026-06-23,3,0,-1,Lodolo L6.0=6L + Mize M5.0=6W + Lambert L5.5=6L
pick'em sim +0.5 tight,2026-06-24,3,0,-1,Yesavage L5.5=5W + Liberatore L5.0=3W + McLean L7.5=9L
pick'em sim +0.5 tight,2026-06-24,3,1,5.0,Pérez L6.0=1W + Assad M4.0=5W + Sears M4.0=5W
pick'em sim +0.5 tight,2026-06-29,3,1,5.0,Mize M5.0=10W + Lambert L5.5=4W + Rodriguez L4.5=1W
pick'em sim +0.5 tight,2026-06-29,3,1,5.0,Lodolo L5.0=4W + Yesavage L6.0=3W + Johnson L5.5=3W
pick'em sim +0.5 tight,2026-06-30,3,0,-1,Sproat M4.5=7W + Liberatore L5.5=9L + Cavalli L7.0=13L
